Product Name,Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND)
HP 245 G10 B8pf8at,hp,AMD,Ryzen 5,7.0,4.5,16.0,DDR4,3200.0,256.0,14.0,1920 x 1080,,AMD,1.36,"HP Long Life 3-cell, 41 Wh Li-ion",15590000.0
HP Victus 15 Fa2731tx B85lnpa,hp,Intel,I5,51.0,4.6,16.0,DDR4,3200.0,512.0,15.6,1920 x 1080,144.0,NVIDIA,2.185,3 Cell Int (52.5Wh),24045000.0
HP 14 Ep0112tu 8c5l1pa,hp,Intel,I5,13.0,4.6,16.0,DDR4,3200.0,512.0,14.0,1920 x 1080,,Intel,1.46,"3-cell, 41 Wh Li-ion",19590000.0
HP 15 Fc0086au A6vv9pa,hp,AMD,Ryzen 5,7.0,4.3,16.0,DDR4,3200.0,512.0,15.6,1920 x 1080,,AMD,1.59,"3-cell, 41 Wh Li-ion polymer",15190000.0
HP Victus 15 Fb3116ax Bx8u4pa,hp,AMD,Ryzen 7,7.0,4.7,16.0,DDR5,5600.0,512.0,15.6,1920 x 1080,144.0,NVIDIA,2.29,"3-cell, 52.5 Wh Li-ion polymer",25990000.0
HP Pavilion 15 Eg3095tu 8c5l6pa 16gb,hp,Intel,I5,13.0,1.3,16.0,DDR4,3200.0,512.0,15.6,1920 x 1080,60.0,Intel,1.74,"3-cell Li-ion, 41 Wh",19990000.0
HP 245 G10 Bg5u8pt,hp,AMD,Ryzen 7,7.0,5.0,16.0,DDR4,3200.0,512.0,14.0,1920 x 1080,,AMD,1.36,"HP Long Life 3-cell, 41 Wh Li-ion",19990000.0
HP Pavilion 15 Eg3094tu 8c5l5pa 16gb,hp,Intel,I5,13.0,1.3,16.0,DDR4,3200.0,512.0,15.6,1920 x 1080,60.0,Intel,1.74,"3-cell Li-ion, 41 Wh",19990000.0
HP 14 Ep0220tu B73vwpa 16gb,hp,Intel,I3,31.0,4.5,16.0,DDR4,3200.0,512.0,14.0,1920 x 1080,,Intel,1.4,"3-cell, 41 Wh Li-ion polymer Bộ đổi nguồn AC thông minh 45 W",13490000.0
HP 15 Fd0305tu A2nl6pa,hp,Intel,I3,31.0,5.0,16.0,DDR4,3200.0,256.0,15.6,1920 x 1080,,Intel,1.59,"Pin Li-ion polymer 3 cell, công suất 41 Wh",12490000.0
HP 15 Fd0306tu A2nl7pa,hp,Intel,I3,31.0,1.2,8.0,DDR4,3200.0,256.0,15.6,1920 x 1080,60.0,Intel,1.59,"3-cell, 41 Wh Li-ion",12490000.0
HP Envy X360 14 Fa0045au A19bmpa,hp,AMD,Ryzen 7,8.0,5.1,32.0,DDR5,6400.0,1024.0,14.0,2880 x 1800,60.0,AMD,1.39,"3-cell, 59 Wh Li-ion polymer",35090000.0
HP 14 Ep0220tu B73vwpa,hp,Intel,I3,31.0,4.5,8.0,DDR4,3200.0,512.0,14.0,1920 x 1080,,Intel,1.4,"3-cell, 41 Wh Li-ion polymer Bộ đổi nguồn AC thông minh 45 W",13490000.0
HP Pavilion 15 Eg3112tu 8u6l9pa,hp,Intel,I7,13.0,5.0,16.0,DDR4,3200.0,512.0,15.6,1920 x 1080,,Intel,1.69,3-cell,25290000.0
HP 14 Dq2055wm 39k15ua,hp,Intel,I3,31.0,,4.0,DDR4,2666.0,256.0,14.0,1920 x 1080,,Intel,1.46,"3-cell, 41 Wh Li-ion",13990000.0
HP 15 Fd0237tu,hp,Intel,I5,51.0,4.6,16.0,DDR4,3200.0,512.0,15.6,1920 x 1080,,Intel,1.59,"3-cell, 41 Wh Li-ion polymer",18390000.0
HP 250 G9 Ag2k7at,hp,Intel,I5,51.0,4.4,16.0,DDR4,3200.0,512.0,15.6,1920 x 1080,,Intel,1.696,3 Cell Int (41.04Wh),19190000.0
HP Envy X360 2in1 14 Fc0086tu A19bwpa,hp,Intel,,,80.0,32.0,DDR5,6400.0,512.0,14.0,2880 x 1800,120.0,Intel,1.384,3 Cell Int (59.16Wh),35290000.0
HP Victus 16 S0143ax 9q990pa,hp,AMD,Ryzen 5,7.0,5.0,32.0,DDR5,5600.0,512.0,16.1,1920 x 1080,144.0,NVIDIA,2.33,"4-cell, 70 Wh Li-ion polymer",31490000.0
HP Envy X360 14 Fa0096au Ay8u6pa,hp,AMD,Ryzen 5,8.0,9.0,16.0,DDR5,6400.0,1024.0,14.0,2880 x 1800,120.0,AMD,1.39,"Li-ion polymer 3 lõi, 59 Wh Bộ chuyển đổi nguồn điện 65 W USB Type-C Hỗ trợ sạc pin nhanh: khoảng 50% trong 30 phút",30390000.0
HP 15 Fd0083tu 8d736pa,hp,Intel,I7,71.0,0.0,16.0,DDR4,3200.0,512.0,15.6,1920 x 1080,,Intel,1.59,"3-cell, 41 Wh Li-ion polymer Bộ đổi nguồn AC thông minh 45 W",22490000.0
HP Pavilion 15 Eg3093tu 8c5l4pa,hp,Intel,I5,13.0,1.3,16.0,DDR4,3200.0,512.0,15.6,1920 x 1080,60.0,Intel,1.69,"3-cell Li-ion, 41 Wh",21290000.0
HP 240 G9 Ag2j7at,hp,Intel,I5,51.0,4.4,16.0,DDR4,3200.0,512.0,14.0,1920 x 1080,,Intel,1.42,3 Cell Int (41.04Wh),19790000.0
HP 15 Fd1063tu 9z2y1pa,hp,Intel,,,5.0,16.0,DDR5,5600.0,512.0,15.6,1920 x 1080,,Intel,1.65,"3-cell, 41 Wh Li-ion polymer Hỗ trợ sạc pin nhanh: khoảng 50% trong 45 phút",20990000.0
HP Pavilion 15 Eg3111tu 8u6l8pa,hp,Intel,I5,51.0,4.6,16.0,DDR4,3200.0,512.0,15.6,1920 x 1080,,Intel,1.6,"3-cell, 41 Wh Li-ion",21290000.0
HP Gaming Omen 16 Am0129tx Bx9d1pa,hp,Intel,,,5.1,32.0,DDR5,5600.0,512.0,16.0,1920 x 1200,165.0,NVIDIA,2.43,"6-cell, 83 Wh Li-ion polymer",48890000.0
HP Gaming Omen 16 Am0176tx Bx9d3pa,hp,Intel,,,5.1,16.0,DDR5,5600.0,512.0,16.0,1920 x 1200,165.0,NVIDIA,2.43,"6-cell, 83 Wh Li-ion polymer",43890000.0
HP Victus 16 R0376tx Ay8z2pa,hp,Intel,I7,71.0,5.0,16.0,DDR5,4800.0,512.0,16.1,1920 x 1080,165.0,NVIDIA,2.31,"4-cell, 70 Wh Li-ion polymer Bộ đổi nguồn AC thông minh 200 W Hỗ trợ sạc pin nhanh: khoảng 50% trong 30 phút",32690000.0
HP Victus 16 R0374tx Ay8y7pa,hp,Intel,I5,51.0,4.7,16.0,DDR5,4800.0,512.0,16.1,1920 x 1080,165.0,NVIDIA,2.334,4 Cell Int (70.07Wh),30990000.0
