Product Name,Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND),url,saved_path,detail_specs_html_path
HP Victus 15 Fb3115ax Bx9c9pa,HP,AMD,Ryzen 7,7445,4.7,16.0,DDR5,5600,512,15.6,1920 x 1080,144,NVIDIA,2.29,"4-cell, 70 Wh Li-ion",26990000,https://www.anphatpc.com.vn/laptop-hp-victus-15-fb3115ax-bx9c9pa.html,data/anphat/raw_htmls\hp_0.html,data/anphat/detail_htmls\hp_0_specs.html
HP Elitebook 6 G1i Bq9n4pt,HP,Intel,Core Ultra 7,255,5.1,16.0,DDR5,5600,512,14.0,1920 x 1200,,Intel,1.4,3-cell 56Wh,33990000,https://www.anphatpc.com.vn/laptop-hp-elitebook-6-g1i-bq9n4pt.html,data/anphat/raw_htmls\hp_3.html,data/anphat/detail_htmls\hp_3_specs.html
HP HP 15 Fd0306tu A2nl7pa,HP,Intel,Core i3,1315,4.5,8.0,DDR4,3200,256,15.6,1920 x 1080,,Intel,1.59,"3-cell, 41 Wh Li-ion",13990000,https://www.anphatpc.com.vn/laptop-hp-hp-15-fd0306tu-a2nl7pa.html,data/anphat/raw_htmls\hp_2.html,data/anphat/detail_htmls\hp_2_specs.html
HP 250r G9 B93h2at,HP,Intel,Core i5,1334,4.6,8.0,DDR4,3200,512,15.6,1920 x 1080,,Intel,1.74,3-cell 41Wh,17900000,https://www.anphatpc.com.vn/laptop-hp-250r-g9-b93h2at.html,data/anphat/raw_htmls\hp_1.html,data/anphat/detail_htmls\hp_1_specs.html
HP Elitebook 6 G1i Bq9m9pt,HP,Intel,Core Ultra 5,225,4.9,16.0,DDR5,5600,512,14.0,1920 x 1200,,Intel,1.4,3-cell 56Wh,28990000,https://www.anphatpc.com.vn/laptop-hp-elitebook-6-g1i-bq9m9pt.html,data/anphat/raw_htmls\hp_4.html,data/anphat/detail_htmls\hp_4_specs.html
HP Elitebook 640 G10 Bh3e3pt,HP,Intel,Core i5,1335,4.6,16.0,DDR4,3200,512,14.0,1920 x 1080,,Intel,1.41,"3-cell,51 Wh",23990000,https://www.anphatpc.com.vn/laptop-hp-elitebook-640-g10-bh3e3pt.html,data/anphat/raw_htmls\hp_6.html,data/anphat/detail_htmls\hp_6_specs.html
HP Elitebook 6 G1i 13 Bq9q3pt,HP,Intel,Core Ultra 7,255,5.2,16.0,DDR5,5600,512,13.3,1920 x 1200,,Intel,1.3,3-cell 56Wh,33990000,https://www.anphatpc.com.vn/laptop-hp-elitebook-6-g1i-13-bq9q3pt.html,data/anphat/raw_htmls\hp_5.html,data/anphat/detail_htmls\hp_5_specs.html
HP Victus 15 Fa2731tx B85lnpa,HP,Intel,Core i5,13420,4.6,16.0,DDR4,3200,512,15.6,1920 x 1080,144,NVIDIA,2.29,"3-cell, 52.5 Wh",23990000,https://www.anphatpc.com.vn/laptop-hp-victus-15-fa2731tx-b85lnpa.html,data/anphat/raw_htmls\hp_7.html,data/anphat/detail_htmls\hp_7_specs.html
Gaming Omen 14 Fb0135tx Ay8v1pa,HP,Intel,Core Ultra 7,900,4.8,16.0,LPDDR5X,7467,1024,14.0,2880 x 1800,120,NVIDIA,1.63,6 Cell 71WHr,68990000,https://www.anphatpc.com.vn/laptop-gaming-omen-14-fb0135tx-ay8v1pa.html,data/anphat/raw_htmls\hp_8.html,data/anphat/detail_htmls\hp_8_specs.html
HP Victus 15 Fa2732tx B85lppa,HP,Intel,Core i5,13420,4.6,16.0,DDR4,3200,512,15.6,1920 x 1080,144,NVIDIA,2.29,"4-cell, 70 Wh",26990000,https://www.anphatpc.com.vn/laptop-hp-victus-15-fa2732tx-b85lppa.html,data/anphat/raw_htmls\hp_9.html,data/anphat/detail_htmls\hp_9_specs.html
HP Omnibook 5 Flip 14 Fp0057tu Bz7q6pa,HP,Intel,Core 5,120,5.0,16.0,LPDDR5X,5200,512,14.0,1920 x 1200,,Intel,1.62,4-cell 68Wh,27990000,https://www.anphatpc.com.vn/laptop-hp-omnibook-5-flip-14-fp0057tu-bz7q6pa.html,data/anphat/raw_htmls\hp_10.html,data/anphat/detail_htmls\hp_10_specs.html
HP 14s Ep0110tu 8c5k9pa,HP,Intel,Core i7,1355,5.0,16.0,DDR4,3200,512,14.0,1920 x 1080,,Intel,1.46,"3-cell, 41 Wh Li-ion",21990000,https://www.anphatpc.com.vn/laptop-hp-14s-ep0110tu-8c5k9pa.html,data/anphat/raw_htmls\hp_11.html,data/anphat/detail_htmls\hp_11_specs.html
HP Victus 16 R0228tx 9q979pa,HP,Intel,Core i5,13500,4.7,32.0,DDR5,5200,512,16.1,1920 x 1080,144,NVIDIA,2.31,4Cell 70WHrs,33990000,https://www.anphatpc.com.vn/laptop-hp-victus-16-r0228tx-9q979pa.html,data/anphat/raw_htmls\hp_12.html,data/anphat/detail_htmls\hp_12_specs.html
HP Omnibook 5 Ai 16 Af1054tu C1mn8pa,HP,Intel,Core Ultra 7,255,5.2,32.0,LPDDR5,7467,512,16.0,1920 x 1200,,Intel,,"3-cell Li-ion, 59 Wh",30690000,https://www.anphatpc.com.vn/laptop-hp-omnibook-5-ai-16-af1054tu-c1mn8pa.html,data/anphat/raw_htmls\hp_14.html,data/anphat/detail_htmls\hp_14_specs.html
HP Omnibook X Flip 14 Fm0088tu Bz7q2pa,HP,Intel,Core Ultra 5,226,4.5,16.0,LPDDR5X,8533,512,14.0,1920 x 1200,,Intel,,"3-cell, 59 Wh",31990000,https://www.anphatpc.com.vn/laptop-hp-omnibook-x-flip-14-fm0088tu-bz7q2pa.html,data/anphat/raw_htmls\hp_15.html,data/anphat/detail_htmls\hp_15_specs.html
HP Victus 16 R0358tx Ay8x4pa,HP,Intel,Core i7,13700,5.0,32.0,DDR5,5200,512,16.1,1920 x 1080,165,NVIDIA,2.31,4Cell 70WHrs,45990000,https://www.anphatpc.com.vn/laptop-hp-victus-16-r0358tx-ay8x4pa.html,data/anphat/raw_htmls\hp_18.html,data/anphat/detail_htmls\hp_18_specs.html
HP 250r G9 B93h3at,HP,Intel,Core i5,1334,4.6,16.0,DDR4,3200,512,15.6,1920 x 1080,,Intel,1.74,3-cell 41Wh,17990000,https://www.anphatpc.com.vn/laptop-hp-250r-g9-b93h3at.html,data/anphat/raw_htmls\hp_19.html,data/anphat/detail_htmls\hp_19_specs.html
HP Victus 16 R0223tx 9q974pa,HP,Intel,Core i7,13700,5.0,32.0,DDR5,5200,512,16.1,1920 x 1080,144,NVIDIA,2.31,4Cell 70WHrs,45990000,https://www.anphatpc.com.vn/laptop-hp-victus-16-r0223tx-9q974pa.html,data/anphat/raw_htmls\hp_17.html,data/anphat/detail_htmls\hp_17_specs.html
HP 15 Fd0083tu 8d736pa,HP,Intel,Core i7,1355,5.0,16.0,DDR4,3200,512,15.6,1920 x 1080,,Intel,1.59,"3-cell, 41 Wh Li-ion",22590000,https://www.anphatpc.com.vn/laptop-hp-15-fd0083tu-8d736pa.html,data/anphat/raw_htmls\hp_20.html,data/anphat/detail_htmls\hp_20_specs.html
HP Probook 4 G1i 16 Bq5e4pt,HP,Intel,Core Ultra 7,255,5.1,16.0,DDR5,5600,512,16.0,1920 x 1200,,Intel,1.74,"3-cell, 56 Wh",33990000,https://www.anphatpc.com.vn/laptop-hp-probook-4-g1i-16-bq5e4pt.html,data/anphat/raw_htmls\hp_21.html,data/anphat/detail_htmls\hp_21_specs.html
HP Probook 4 G1i 16 Bq5e6pt,HP,Intel,Core Ultra 7,255,5.1,16.0,DDR5,5600,512,16.0,1920 x 1200,,Intel,1.74,"3-cell, 56 Wh",35990000,https://www.anphatpc.com.vn/laptop-hp-probook-4-g1i-16-bq5e6pt.html,data/anphat/raw_htmls\hp_25.html,data/anphat/detail_htmls\hp_25_specs.html
HP Omnibook X Flip 14 Fm0076tu Bz7p6pa,HP,Intel,Core Ultra 7,258,4.8,32.0,LPDDR5X,8533,512,14.0,1920 x 1200,,Intel,1.38,"3-cell, 59 Wh",37990000,https://www.anphatpc.com.vn/laptop-hp-omnibook-x-flip-14-fm0076tu-bz7p6pa.html,data/anphat/raw_htmls\hp_26.html,data/anphat/detail_htmls\hp_26_specs.html
HP Omnibook 7 Ai 16 Az0043tu C2cx3pa,HP,Intel,Core 7,240,5.2,32.0,DDR5,5600,512,16.0,1920 x 1200,,Intel,1.91,"4-cell, 70 Wh",31990000,https://www.anphatpc.com.vn/laptop-hp-omnibook-7-ai-16-az0043tu-c2cx3pa.html,data/anphat/raw_htmls\hp_27.html,data/anphat/detail_htmls\hp_27_specs.html
HP 15 Fd0823tu C81nmpa,HP,Intel,Core i7,1355,5.0,16.0,DDR4,3200,512,15.6,1920 x 1080,,Intel,1.59,"3-cell, 41 Wh Li-ion",21990000,https://www.anphatpc.com.vn/laptop-hp-15-fd0823tu-c81nmpa.html,data/anphat/raw_htmls\hp_28.html,data/anphat/detail_htmls\hp_28_specs.html
