Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND)
asus,Apple,,,,,,,1000.0,,,,NVIDIA,,,
asus,Apple,,,,,,,1000.0,,,,Intel,,,
asus,Apple,,,,,,,,,,,Intel,,,
laptop,Apple,,,,,,,,,,,Intel,,,
asus,Apple,,,,,,,,,,,Intel,,,9290000.0
asus,Apple,,,,,,,16.0,,,,Intel,,,18490000.0
asus,Apple,,,,,,,16.0,15.6,,,Intel,,,14990000.0
asus,Apple,,,,,,,,,,,Intel,,,16990000.0
asus,Apple,,,,,,,16.0,,,,Intel,,,21990000.0
asus,Apple,,,,,,,16.0,15.6,,,Intel,,,12390000.0
asus,Apple,,,,,,,,,,,Intel,,,25490000.0
asus,Apple,,,,,,,,,,,Intel,,,10490000.0
asus,Intel,i3-1315u,13.0,,,,,8.0,16.0,,,Intel,,,10690000.0
asus,Apple,,,,,,,16.0,,,,Intel,,,17290000.0
asus,Apple,,,,,,,,,,,Intel,,,11990000.0
asus,Apple,,,,,,,16.0,,,,Intel,,,23990000.0
asus,Apple,,,,,,,16.0,14.0,,,Intel,,,17990000.0
asus,Apple,,,,,,,16.0,,,,Intel,,,19790000.0
asus,Apple,,,,,,,,,,,Intel,,,11990000.0
asus,Apple,,,,,,,16.0,15.6,,,Intel,,,20490000.0
asus,Apple,,,,,,,,,,,Intel,,,18990000.0
asus,Apple,,,,,,,,,,,Intel,,,14890000.0
asus,Apple,,,,,,,,,,,Intel,,,19990000.0
asus,Apple,,,,,,,16.0,16.0,,,Intel,,,18990000.0
asus,Apple,,,,,,,,,,,Intel,,,20990000.0
asus,Apple,,,,,,,,,,,Intel,,,18490000.0
asus,Apple,,,,,,,,,,,Intel,,,27490000.0
asus,Apple,,,,,,,,,,,Apple,,,26390000.0
asus,Apple,,,,,,,,,,,Intel,,,31990000.0
