Product Name,Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND),url,saved_path,detail_specs_html_path
ASUS Vivobook Gaming K3605vc Rp431w I5 13420h,asus,Intel,Core I5,13420,4.6,16,DDR4,3200,512,16.0,1920x1200,144,Intel,1.8,50 Whr 120 W,22090000,https://www.fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-gaming-k3605vc-rp431w-i5-13420h,data/fpt/raw_htmls\asus_0.html,data/fpt/detail_htmls\asus_0_specs.html
ASUS Vivobook 15 X1502va Bq886w I7 13620h,asus,Intel,Core I7,13620,4.9,16,DDR4,3200,512,15.6,1920x1200,60,Intel,1.7,42 WHrs 65 W,18490000,https://www.fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-15-x1502va-bq886w-i7-13620h,data/fpt/raw_htmls\asus_4.html,data/fpt/detail_htmls\asus_4_specs.html
ASUS Vivobook E1504fa Bq1150w R5 7520u,asus,AMD,Ryzen 5,7520,4.3,16,LPDDR5,4800,512,15.6,1920x1080,60,AMD,1.63,42 WHrs 45 W,14990000,https://www.fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-e1504fa-bq1150w-r5-7520u,data/fpt/raw_htmls\asus_3.html,data/fpt/detail_htmls\asus_3_specs.html
ASUS Vivobook Go 15 E1504ga Bq1141w I3 N305,asus,Intel,Core I3,305,3.8,8,DDR4,,256,15.6,1920x1080,60,Intel,1.63,42 WHrs 45 W,9990000,https://www.fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-go-15-e1504ga-bq1141w-i3-n305,data/fpt/raw_htmls\asus_2.html,data/fpt/detail_htmls\asus_2_specs.html
ASUS Vivobook X1502va Bq885w I5 13420h,asus,Intel,Core I5,13420,4.6,16,DDR4,,512,15.6,1920x1080,60,Intel,1.7,63 Wh 150 W,16190000,https://www.fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-x1502va-bq885w-i5-13420h,data/fpt/raw_htmls\asus_1.html,data/fpt/detail_htmls\asus_1_specs.html
ASUS Tuf Gaming F16 Fx607vj Rl034w Core 5 210h,asus,Intel,Core 5,210,4.8,16,DDR4,3200,512,16.0,1920x1200,144,Intel,2.2,56 WHrs 150 W,24590000,https://www.fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-f16-fx607vj-rl034w-core-5-210h,data/fpt/raw_htmls\asus_6.html,data/fpt/detail_htmls\asus_6_specs.html
ASUS Vivobook X1605va Mb1826w,asus,Intel,Core I3,1315,4.5,8,DDR4,,512,16.0,1920x1200,60,Intel,1.88,42 WHrs 45 W,13990000,https://www.fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-x1605va-mb1826w,data/fpt/raw_htmls\asus_8.html,data/fpt/detail_htmls\asus_8_specs.html
ASUS Tuf Gaming Fa506ncg Hn184w R7 7445hs,asus,AMD,Ryzen 7,7445,4.7,16,DDR5,5600,512,15.6,1920x1080,144,AMD,2.3,48 Wh 180 W,22490000,https://www.fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fa506ncg-hn184w-r7-7445hs,data/fpt/raw_htmls\asus_7.html,data/fpt/detail_htmls\asus_7_specs.html
ASUS Tuf Gaming F16 Fx607vu Rl045w Core 5 210h,asus,Intel,Core 5,210,4.8,16,DDR5,5600,512,16.0,1920x1200,144,Intel,2.2,56 WHrs 240 W,28990000,https://www.fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-f16-fx607vu-rl045w-core-5-210h,data/fpt/raw_htmls\asus_5.html,data/fpt/detail_htmls\asus_5_specs.html
ASUS Vivobook X1404va Nk394w I3 1315u,asus,Intel,Core I3,1315,4.5,8,DDR4,3200,512,14.0,1920x1080,60,Intel,1.4,42 WHrs 45 W,13490000,https://www.fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-x1404va-nk394w-i3-1315u,data/fpt/raw_htmls\asus_9.html,data/fpt/detail_htmls\asus_9_specs.html
ASUS Vivobook S14 S3407va Ly046w I5 13420h,asus,Intel,Core I5,13420,4.6,16,DDR5,4800,512,14.0,1920x1200,60,Intel,1.39,70 Wh 65 W,19490000,https://www.fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-s14-s3407va-ly046w-i5-13420h,data/fpt/raw_htmls\asus_12.html,data/fpt/detail_htmls\asus_12_specs.html
ASUS Vivobook 14 A1407ca Ly008ws,asus,Intel,Ultra 5,225,4.9,16,DDR5,4800,512,14.0,1920x1200,60,Intel,1.46,42 Wh 65 W,21990000,https://www.fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-14-a1407ca-ly008ws,data/fpt/raw_htmls\asus_10.html,data/fpt/detail_htmls\asus_10_specs.html
ASUS Vivobook E1404fa Eb482w R5 7520u,asus,AMD,Ryzen 5,7520,4.3,16,LPDDR5,5500,512,14.0,1920x1080,60,AMD,1.38,42 Wh 45 W,14990000,https://www.fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-e1404fa-eb482w-r5-7520u,data/fpt/raw_htmls\asus_13.html,data/fpt/detail_htmls\asus_13_specs.html
ASUS Vivobook S3407va Ly146w Core 5 210h,asus,Intel,Core 5,210,4.8,16,DDR5,4800,512,14.0,1920x1200,60,Intel,1.4,70 Whr 65 W,20990000,https://www.fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-s3407va-ly146w-core-5-210h,data/fpt/raw_htmls\asus_14.html,data/fpt/detail_htmls\asus_14_specs.html
ASUS Gaming V16 V3607vu Rp343w Core 5 210h,asus,Intel,Core 5,210,4.8,16,DDR5,,512,16.0,1920x1200,144,Intel,1.95,63 WHrs 150 W,26990000,https://www.fptshop.com.vn/may-tinh-xach-tay/asus-gaming-v16-v3607vu-rp343w-core-5-210h,data/fpt/raw_htmls\asus_11.html,data/fpt/detail_htmls\asus_11_specs.html
ASUS Vivobook S14 S3407va Ly053w I7 13620h,asus,Intel,Core I7,13620,4.9,16,DDR5,4800,512,14.0,1920x1200,60,Intel,1.4,70 Wh 65 W,21990000,https://www.fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-s14-s3407va-ly053w-i7-13620h,data/fpt/raw_htmls\asus_16.html,data/fpt/detail_htmls\asus_16_specs.html
ASUS Vivobook 14 X1405va Ly623w I5 13420h,asus,Intel,Core I5,13420,4.6,16,DDR4,3200,512,14.0,1920x1200,60,Intel,1.6,42 Wh 65 W,16190000,https://www.fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-14-x1405va-ly623w-i5-13420h,data/fpt/raw_htmls\asus_15.html,data/fpt/detail_htmls\asus_15_specs.html
ASUS Gaming V16 V3607vh Rp025w Core 7 240h,asus,Intel,Core 7,240,5.2,16,DDR5,5200,512,16.0,1920x1200,144,Intel,1.95,63 WHrs 150 W,30490000,https://www.fptshop.com.vn/may-tinh-xach-tay/asus-gaming-v16-v3607vh-rp025w-core-7-240h,data/fpt/raw_htmls\asus_19.html,data/fpt/detail_htmls\asus_19_specs.html
ASUS Vivobook S3607va Rp056w I7 13620h,asus,Intel,Core I7,13620,4.9,16,DDR5,4800,512,16.0,1920x1200,144,Intel,1.8,70 Whr 65 W,21990000,https://www.fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-s3607va-rp056w-i7-13620h,data/fpt/raw_htmls\asus_17.html,data/fpt/detail_htmls\asus_17_specs.html
ASUS Vivobook S14 S3407ca Ly095ws Ultra 5 225h,asus,Intel,Ultra 5,225,4.9,16,DDR5,4800,512,14.0,1920x1200,60,Intel,1.4,70 Wh 65 W,22490000,https://www.fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-s14-s3407ca-ly095ws-ultra-5-225h,data/fpt/raw_htmls\asus_18.html,data/fpt/detail_htmls\asus_18_specs.html
ASUS Vivobook E1504fa Nj454w,asus,AMD,Ryzen 5,7520,4.3,16,LPDDR5,,512,15.6,1920x1080,60,AMD,1.8,42 WHrs 45 W,14190000,https://www.fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-e1504fa-nj454w,data/fpt/raw_htmls\asus_20.html,data/fpt/detail_htmls\asus_20_specs.html
ASUS Vivobook S14 M3407ka Sf034ws AMD RYZEN Ai 5 330,asus,AMD,Ryzen AI 5,,4.0,16,DDR5,4800,512,14.0,1920x1200,60,AMD,1.4,70 Wh 65 W,23490000,https://www.fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-s14-m3407ka-sf034ws-amd-ryzen-ai-5-330,data/fpt/raw_htmls\asus_21.html,data/fpt/detail_htmls\asus_21_specs.html
ASUS Tuf Gaming Fa607nug Rl129w R7 7445hs,asus,AMD,Ryzen 7,7445,4.7,16,DDR5,5600,512,16.0,1920x1200,144,AMD,2.2,4 Cell 240 W,28990000,https://www.fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fa607nug-rl129w-r7-7445hs,data/fpt/raw_htmls\asus_23.html,data/fpt/detail_htmls\asus_23_specs.html
ASUS Vivobook 15 X1504va Bq165w Core 5 120u,asus,Intel,Core 5,120,5.0,16,DDR4,3200,512,15.6,1920x1080,60,Intel,1.7,42 WHrs 45 W,18990000,https://www.fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-15-x1504va-bq165w-core-5-120u,data/fpt/raw_htmls\asus_22.html,data/fpt/detail_htmls\asus_22_specs.html
HP 14 Ep1179tu Core 5 120u C89zspa,hp,Intel,Core 5,120,5.0,16,DDR4,,512,14.0,1920x1080,,Intel,1.398,3 Cell 45 W,18690000,https://www.fptshop.com.vn/may-tinh-xach-tay/hp-14-ep1179tu-core-5-120u-c89zspa,data/fpt/raw_htmls\hp_2.html,data/fpt/detail_htmls\hp_2_specs.html
HP Probook 445 G10 R5 7530u B73tsat,hp,AMD,Ryzen 5,7530,4.5,16,DDR4,3200,512,14.0,1920x1080,60,AMD,1.38,3 Cell 65 W,18590000,https://www.fptshop.com.vn/may-tinh-xach-tay/hp-probook-445-g10-r5-7530u-b73tsat,data/fpt/raw_htmls\hp_4.html,data/fpt/detail_htmls\hp_4_specs.html
HP 15 Fd0305tu I3 1315u A2nl6pa,hp,Intel,Core I3,1315,4.5,8,DDR4,3200,256,15.6,1920x1080,60,Intel,1.59,3 Cell 45 W,12290000,https://www.fptshop.com.vn/may-tinh-xach-tay/hp-15-fd0305tu-i3-1315u-a2nl6pa,data/fpt/raw_htmls\hp_1.html,data/fpt/detail_htmls\hp_1_specs.html
HP 250 G10 I5 1334u B3wa8at,hp,Intel,Core 5,1334,4.6,16,DDR4,,512,15.6,1920x1080,,Intel,1.624,3 Cell 45 W,18390000,https://www.fptshop.com.vn/may-tinh-xach-tay/hp-250-g10-i5-1334u-b3wa8at,data/fpt/raw_htmls\hp_3.html,data/fpt/detail_htmls\hp_3_specs.html
