Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND)
asus,,,,,,,,,15.0,,,Intel,,,
asus,,,,,,,,,15.0,,,Intel,,,
asus,,,,,,,,,17.0,,,Intel,,,
laptop,,,,,,,,,17.0,,,Intel,,,
asus,Intel,i5-13420h,13.0,,16.0,,,512.0,16.0,,144.0,NVIDIA,,,18290000.0
asus,Intel,i5-13420h,13.0,,16.0,,,512.0,15.6,1920x1080,,Intel,,,14790000.0
asus,Intel,n305,,,8.0,,,256.0,15.6,,,Intel,,,9290000.0
asus,,,,,16.0,,,512.0,15.6,1920x1080,,AMD,,,12390000.0
asus,Intel,i7-13620h,13.0,,,,,,15.6,,,Intel,,,16790000.0
asus,,,,,,,,6.0,16.0,,,NVIDIA,,,25290000.0
asus,,,,,16.0,,,512.0,16.0,,144.0,NVIDIA,,,21490000.0
asus,,,,,16.0,,,512.0,15.6,,144.0,NVIDIA,,,20490000.0
asus,Intel,i3-1315u,13.0,,8.0,,,512.0,16.0,,,Intel,,,10490000.0
asus,,,,,8.0,,,8.0,14.0,,,Intel,,,10490000.0
asus,,,,,16.0,,,512.0,14.0,,,Intel,,,19790000.0
asus,,,,,16.0,,,512.0,16.0,,,NVIDIA,,,23990000.0
asus,Intel,i5-13420h,13.0,,16.0,,,512.0,14.0,1920x1200,,Intel,,,16990000.0
asus,,,,,,,,,14.0,,,AMD,,,11990000.0
asus,,,,,16.0,DDR5,,512.0,14.0,1920x1200,,Intel,,,17790000.0
asus,Intel,i5-13420h,13.0,,16.0,,,16.0,14.0,2880x1800,,Intel,,,14790000.0
asus,Intel,i7-13620h,13.0,,16.0,DDR5,,16.0,14.0,1920x1200,,Intel,,,18990000.0
asus,,,,,16.0,DDR5,,16.0,14.0,1920x1200,,Intel,1.39,,20490000.0
asus,Intel,i7-13620h,13.0,,16.0,DDR5,,512.0,16.0,1920x1200,,Intel,,,18990000.0
asus,,,,,16.0,,,16.0,14.0,,,AMD,,,21490000.0
asus,AMD,Ryzen 5 7520u,7.0,,,,,,15.6,,,AMD,,,11990000.0
asus,,,,,,,,8.0,16.0,1920x1200,144.0,NVIDIA,,,27490000.0
laptop,,,,,16.0,,,16.0,15.6,,,Intel,,,14990000.0
asus,,,,,,,,,16.0,,144.0,NVIDIA,,,25990000.0
asus,,,,,16.0,,,512.0,14.0,,,Intel,,,23490000.0
asus,,,,,16.0,,,16.0,16.0,,144.0,NVIDIA,,,26490000.0
asus,Intel,i5-13420h,13.0,,,,,,14.0,1920x1200,,Intel,,,17490000.0
asus,,,,,16.0,,,16.0,14.0,,,AMD,,,11890000.0
asus,,,,,16.0,,,16.0,14.0,2880x1800,,Intel,,,28490000.0
asus,Intel,i7-13620h,13.0,,,,,4.0,16.0,,,NVIDIA,1.8,,19990000.0
laptop,,,,,,,,,15.0,,,Intel,,,
hp,,,,,,,,,15.0,,,Intel,,,
hp,,,,,,,,,15.0,,,Intel,,,
hp,,,,,,,,,17.0,,,Intel,,,
hp,,,,,,,,,17.0,,,Intel,,,
hp,,,,,,,,,17.0,,,Intel,,,
hp,,,,,,,,,15.0,,,Intel,,,
hp,,,,,16.0,,,16.0,14.0,1920x1080,,AMD,,,12390000.0
laptop,Intel,i3-1315u,13.0,,8.0,,,256.0,15.6,,,Intel,,41.0,10190000.0
laptop,Intel,i5-120u,12.0,,16.0,,,16.0,14.0,,,Intel,,,15990000.0
hp,Intel,i5-1334u,13.0,,16.0,,,16.0,15.6,,,Intel,,,15790000.0
hp,AMD,Ryzen 5 7530u,7.0,,16.0,,,512.0,14.0,,,AMD,,,16490000.0
hp,,,,,,,,,14.0,,,Intel,,,15290000.0
hp,Intel,i5-13420h,13.0,,16.0,,,512.0,15.6,,144.0,NVIDIA,,,22690000.0
