Product Name,Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND),detail_specs_html_path,gpu_model,gpu_class,is_contact_price,norm_ram,norm_storage,norm_cpu,norm_weight,norm_screen,norm_price,price_million,base_performance_score,base_portability_score,has_price,ready_for_budget_filter,ready_for_performance_advice,is_light,is_heavy,is_small_screen,is_large_screen,Battery (Wh),norm_battery,gpu_score,battery_score,battery_available,gaming_score,ai_graphics_score,office_score,portability_score,general_score,is_gaming_ready,is_ai_ready,is_business_ready,is_ultrabook
HP 245 G10 B8pf8at,hp,AMD,Ryzen5,7530.0,4.5,16.0,DDR4,3200.0,256.0,14.0,1920 x 1080,,AMD,1.36,"HP Long Life 3-cell, 41 Wh Li-ion",15590000.0,data/cellphones/detail_htmls\hp_2_specs.html,AMD_RADEON_GRAPHICS,INTEGRATED,False,0.8,0.6,0.3029695024077046,0.851123595505618,0.2114767255216693,0.0666666666666666,15.59,0.511,0.851,True,True,True,True,False,True,False,41.0,0.05798394290811775,0.5,0.05798394290811775,1,0.54775,0.5483,0.5374586430423509,0.5575371959501174,0.5322138285590814,False,False,False,False
HP Victus 15 Fa2731tx B85lnpa,hp,Intel,Core I5,13420.0,4.6,16.0,DDR4,3200.0,512.0,15.6,1920 x 1080,144.0,NVIDIA,2.185,3 Cell Int (52.5Wh),24045000.0,data/cellphones/detail_htmls\hp_4_specs.html,RTX 3050,DISCRETE_GAMING,False,0.8,0.8,0.4534510433386838,0.1865971107544141,0.5842696629213483,0.1253819444444444,24.04,0.627,0.187,True,True,True,False,False,False,True,52.5,0.3073148974130241,0.9,0.3073148974130241,1,0.81675,0.8031,0.3800324546240277,0.2237270805037658,0.4352100206815656,True,True,False,False
HP 14 Ep0112tu 8c5l1pa,hp,Intel,Core I5,1335.0,4.6,16.0,DDR4,3200.0,512.0,14.0,1920 x 1080,,Intel,1.46,"3-cell, 41 Wh Li-ion",19590000.0,data/cellphones/detail_htmls\hp_1_specs.html,INTEL_IRIS_XE,INTEGRATED,False,0.8,0.8,0.4534510433386838,0.7323434991974318,0.2114767255216693,0.0944444444444444,19.59,0.627,0.732,True,True,True,True,False,True,False,41.0,0.05798394290811775,0.55,0.05798394290811775,1,0.60675,0.6106,0.5480856093344857,0.5040861526114335,0.5669057547228052,True,True,False,False
HP 15 Fc0086au A6vv9pa,hp,AMD,Ryzen5,7430.0,4.3,16.0,DDR4,3200.0,512.0,15.6,1920 x 1080,,AMD,1.59,"3-cell, 41 Wh Li-ion polymer",15190000.0,data/cellphones/detail_htmls\hp_0_specs.html,AMD_RADEON_GRAPHICS,INTEGRATED,False,0.8,0.8,0.2146869983948635,0.6211878009630818,0.5842696629213483,0.0638888888888888,15.19,0.507,0.621,True,True,True,True,False,False,True,41.0,0.05798394290811775,0.5,0.05798394290811775,1,0.54675,0.5471,0.4557429127052722,0.3802298123225089,0.4585802731818743,False,False,False,False
HP Victus 15 Fb3116ax Bx8u4pa,hp,AMD,Ryzen7,7445.0,4.7,16.0,DDR5,5600.0,512.0,15.6,1920 x 1080,144.0,NVIDIA,2.29,"3-cell, 52.5 Wh Li-ion polymer",25990000.0,data/cellphones/detail_htmls\hp_3_specs.html,RTX 3050,DISCRETE_GAMING,False,0.8,0.8,0.5714285714285714,0.1320224719101124,0.5842696629213483,0.1388888888888889,25.99,0.686,0.132,True,True,True,False,False,False,True,52.5,0.3073148974130241,0.9,0.3073148974130241,1,0.8315,0.8208000000000001,0.387481331028522,0.19916849302383,0.4543002975676009,True,True,False,False
HP Pavilion 15 Eg3095tu 8c5l6pa 16gb,hp,Intel,Core I5,1335.0,1.3,16.0,DDR4,3200.0,512.0,15.6,1920 x 1080,60.0,Intel,1.74,"3-cell Li-ion, 41 Wh",19990000.0,data/cellphones/detail_htmls\hp_5_specs.html,INTEL_IRIS_XE,INTEGRATED,False,0.8,0.8,0.0220706260032102,0.4004815409309791,0.5842696629213483,0.0972222222222222,19.99,0.411,0.4,True,True,True,False,False,False,True,41.0,0.05798394290811775,0.55,0.05798394290811775,1,0.5527500000000001,0.5458000000000001,0.3352957216940362,0.2809119953080626,0.3509154738239288,False,False,False,False
HP 245 G10 Bg5u8pt,hp,AMD,Ryzen7,7730.0,5.0,16.0,DDR4,3200.0,512.0,14.0,1920 x 1080,,AMD,1.36,"HP Long Life 3-cell, 41 Wh Li-ion",19990000.0,data/cellphones/detail_htmls\hp_9_specs.html,AMD_RADEON_GRAPHICS,INTEGRATED,False,0.8,0.8,0.8138041733547352,0.851123595505618,0.2114767255216693,0.0972222222222222,19.99,0.807,0.851,True,True,True,True,False,True,False,41.0,0.05798394290811775,0.5,0.05798394290811775,1,0.62175,0.6371,0.6706586430423509,0.5575371959501174,0.6957538285590814,True,True,True,False
HP Pavilion 15 Eg3094tu 8c5l5pa 16gb,hp,Intel,Core I5,1335.0,1.3,16.0,DDR4,3200.0,512.0,15.6,1920 x 1080,60.0,Intel,1.74,"3-cell Li-ion, 41 Wh",19990000.0,data/cellphones/detail_htmls\hp_7_specs.html,INTEL_IRIS_XE,INTEGRATED,False,0.8,0.8,0.0220706260032102,0.4004815409309791,0.5842696629213483,0.0972222222222222,19.99,0.411,0.4,True,True,True,False,False,False,True,41.0,0.05798394290811775,0.55,0.05798394290811775,1,0.5527500000000001,0.5458000000000001,0.3352957216940362,0.2809119953080626,0.3509154738239288,False,False,False,False
HP 14 Ep0220tu B73vwpa 16gb,hp,Intel,Core I3,1315.0,4.5,16.0,DDR4,3200.0,512.0,14.0,1920 x 1080,,Intel+NVIDIA,1.4,"3-cell, 41 Wh Li-ion polymer Bộ đổi nguồn AC thông minh 45 W",13490000.0,data/cellphones/detail_htmls\hp_8_specs.html,INTEL_UHD+RTX 5500,INTEGRATED,False,0.8,0.8,0.3029695024077046,0.7885232744783306,0.2114767255216693,0.0520833333333333,13.49,0.551,0.789,True,True,True,True,False,True,False,41.0,0.05798394290811775,0.45,0.05798394290811775,1,0.52775,0.5328,0.5335485306828003,0.529367051487838,0.5388202491048277,False,False,False,False
HP 15 Fd0305tu A2nl6pa,hp,Intel,Core I3,1315.0,5.0,16.0,DDR4,3200.0,256.0,15.6,1920 x 1080,,Intel,1.59,"Pin Li-ion polymer 3 cell, công suất 41 Wh",12490000.0,data/cellphones/detail_htmls\hp_6_specs.html,INTEL_UHD,INTEGRATED,False,0.8,0.6,0.8138041733547352,0.6211878009630818,0.5842696629213483,0.0451388888888888,12.49,0.767,0.621,True,True,True,True,False,False,True,41.0,0.05798394290811775,0.45,0.05798394290811775,1,0.58175,0.5976,0.5727429127052722,0.3802298123225089,0.6022302731818743,False,False,False,False
