Product Name,Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND),detail_specs_html_path,gpu_model,gpu_class,is_contact_price,norm_ram,norm_storage,norm_cpu,norm_weight,norm_screen,norm_price,price_million,base_performance_score,base_portability_score,has_price,ready_for_budget_filter,ready_for_performance_advice,is_light,is_heavy,is_small_screen,is_large_screen,Battery (Wh),norm_battery,gpu_score,battery_score,battery_available,gaming_score,ai_graphics_score,office_score,portability_score,general_score,is_gaming_ready,is_ai_ready,is_business_ready,is_ultrabook,cpu_gen
HP 245 G10 B8pf8at,hp,AMD,Ryzen5,7530.0,4.5,16.0,DDR4,3200.0,256.0,14.0,1920 x 1080,,AMD,1.36,"HP Long Life 3-cell, 41 Wh Li-ion",15590000.0,data/cellphones/detail_htmls\hp_2_specs.html,AMD_RADEON_GRAPHICS,INTEGRATED,False,0.8,0.6,0.3029695024077046,0.851123595505618,0.2114767255216693,0.0666666666666666,15.59,0.511,0.851,True,True,True,True,False,True,False,41.0,0.05798394290811775,0.5,0.05798394290811775,1,0.54775,0.5483,0.5394400470085898,0.5610046528910355,0.5337989517320725,False,False,False,False,7.0
HP Victus 15 Fa2731tx B85lnpa,hp,Intel,Core I5,13420.0,4.6,16.0,DDR4,3200.0,512.0,15.6,1920 x 1080,144.0,NVIDIA,2.185,3 Cell Int (52.5Wh),24045000.0,data/cellphones/detail_htmls\hp_4_specs.html,RTX 3050,DISCRETE_GAMING,False,0.8,0.8,0.4534510433386838,0.1890048154093098,0.5842696629213483,0.1253819444444444,24.04,0.627,0.189,True,True,True,False,False,False,True,52.5,0.3073148974130241,0.9,0.3073148974130241,1,0.81675,0.8031,0.40976466487586327,0.27575844844447817,0.45899578888303405,True,True,False,False,13.0
HP 14 Ep0112tu 8c5l1pa,hp,Intel,Core I5,1335.0,4.6,16.0,DDR4,3200.0,512.0,14.0,1920 x 1080,,Intel,1.46,"3-cell, 41 Wh Li-ion",19590000.0,data/cellphones/detail_htmls\hp_1_specs.html,INTEL_IRIS_XE,INTEGRATED,False,0.8,0.8,0.4534510433386838,0.7323434991974318,0.2114767255216693,0.0944444444444444,19.59,0.627,0.732,True,True,True,True,False,True,False,41.0,0.05798394290811775,0.55,0.05798394290811775,1,0.60675,0.6106,0.5500670133007246,0.5075536095523516,0.5684908778957964,True,True,False,False,13.0
HP 15 Fc0086au A6vv9pa,hp,AMD,Ryzen5,7430.0,4.3,16.0,DDR4,3200.0,512.0,15.6,1920 x 1080,,AMD,1.59,"3-cell, 41 Wh Li-ion polymer",15190000.0,data/cellphones/detail_htmls\hp_0_specs.html,AMD_RADEON_GRAPHICS,INTEGRATED,False,0.8,0.8,0.2146869983948635,0.622792937399679,0.5842696629213483,0.0638888888888888,15.19,0.507,0.623,True,True,True,True,False,False,True,41.0,0.05798394290811775,0.5,0.05798394290811775,1,0.54675,0.5471,0.4577243166715112,0.3836972692634271,0.4601653963548655,False,False,False,False,7.0
HP Victus 15 Fb3116ax Bx8u4pa,hp,AMD,Ryzen7,7445.0,4.7,16.0,DDR5,5600.0,512.0,15.6,1920 x 1080,144.0,NVIDIA,2.29,"3-cell, 52.5 Wh Li-ion polymer",25990000.0,data/cellphones/detail_htmls\hp_3_specs.html,RTX 3050,DISCRETE_GAMING,False,0.8,0.8,0.5714285714285714,0.134430176565008,0.5842696629213483,0.1388888888888889,25.99,0.686,0.134,True,True,True,False,False,False,True,52.5,0.3073148974130241,0.9,0.3073148974130241,1,0.8315,0.8208000000000001,0.41721354128035765,0.2511998609645424,0.4780860657690695,True,True,False,False,7.0
HP Pavilion 15 Eg3095tu 8c5l6pa 16gb,hp,Intel,Core I5,1335.0,1.3,16.0,DDR4,3200.0,512.0,15.6,1920 x 1080,60.0,Intel,1.74,"3-cell Li-ion, 41 Wh",19990000.0,data/cellphones/detail_htmls\hp_5_specs.html,INTEL_IRIS_XE,INTEGRATED,False,0.8,0.8,0.0220706260032102,0.4020866773675762,0.5842696629213483,0.0972222222222222,19.99,0.411,0.402,True,True,True,False,False,False,True,41.0,0.05798394290811775,0.55,0.05798394290811775,1,0.5527500000000001,0.5458000000000001,0.3372771256602752,0.2843794522489808,0.35250059699692,False,False,False,False,13.0
HP 245 G10 Bg5u8pt,hp,AMD,Ryzen7,7730.0,5.0,16.0,DDR4,3200.0,512.0,14.0,1920 x 1080,,AMD,1.36,"HP Long Life 3-cell, 41 Wh Li-ion",19990000.0,data/cellphones/detail_htmls\hp_9_specs.html,AMD_RADEON_GRAPHICS,INTEGRATED,False,0.8,0.8,0.8138041733547352,0.851123595505618,0.2114767255216693,0.0972222222222222,19.99,0.807,0.851,True,True,True,True,False,True,False,41.0,0.05798394290811775,0.5,0.05798394290811775,1,0.62175,0.6371,0.6726400470085898,0.5610046528910355,0.6973389517320726,True,True,True,False,7.0
HP Pavilion 15 Eg3094tu 8c5l5pa 16gb,hp,Intel,Core I5,1335.0,1.3,16.0,DDR4,3200.0,512.0,15.6,1920 x 1080,60.0,Intel,1.74,"3-cell Li-ion, 41 Wh",19990000.0,data/cellphones/detail_htmls\hp_7_specs.html,INTEL_IRIS_XE,INTEGRATED,False,0.8,0.8,0.0220706260032102,0.4020866773675762,0.5842696629213483,0.0972222222222222,19.99,0.411,0.402,True,True,True,False,False,False,True,41.0,0.05798394290811775,0.55,0.05798394290811775,1,0.5527500000000001,0.5458000000000001,0.3372771256602752,0.2843794522489808,0.35250059699692,False,False,False,False,13.0
HP 14 Ep0220tu B73vwpa 16gb,hp,Intel,Core I3,1315.0,4.5,16.0,DDR4,3200.0,512.0,14.0,1920 x 1080,,Intel+NVIDIA,1.4,"3-cell, 41 Wh Li-ion polymer Bộ đổi nguồn AC thông minh 45 W",13490000.0,data/cellphones/detail_htmls\hp_8_specs.html,INTEL_UHD+RTX 5500,INTEGRATED,False,0.8,0.8,0.3029695024077046,0.7885232744783306,0.2114767255216693,0.0520833333333333,13.49,0.551,0.789,True,True,True,True,False,True,False,41.0,0.05798394290811775,0.45,0.05798394290811775,1,0.52775,0.5328,0.5355299346490392,0.5328345084287562,0.5404053722778189,False,False,False,False,13.0
HP 15 Fd0305tu A2nl6pa,hp,Intel,Core I3,1315.0,5.0,16.0,DDR4,3200.0,256.0,15.6,1920 x 1080,,Intel,1.59,"Pin Li-ion polymer 3 cell, công suất 41 Wh",12490000.0,data/cellphones/detail_htmls\hp_6_specs.html,INTEL_UHD,INTEGRATED,False,0.8,0.6,0.8138041733547352,0.622792937399679,0.5842696629213483,0.0451388888888888,12.49,0.767,0.623,True,True,True,True,False,False,True,41.0,0.05798394290811775,0.45,0.05798394290811775,1,0.58175,0.5976,0.5747243166715112,0.3836972692634271,0.6038153963548655,False,False,False,False,13.0
