Product Name,Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND)
HP 245 G10 B8pf8at,hp,AMD,Ryzen 5,7,4.5,16,DDR4,3200,256,14.0,1920 x 1080,,AMD,1.36,"HP Long Life 3-cell, 41 Wh Li-ion",15590000
HP Victus 15 Fa2731tx B85lnpa,hp,Intel,I5,51,4.6,16,DDR4,3200,512,15.6,1920 x 1080,144,NVIDIA,2.185,3 Cell Int (52.5Wh),24045000
HP 14 Ep0112tu 8c5l1pa,hp,Intel,I5,13,4.6,16,DDR4,3200,512,14.0,1920 x 1080,,Intel,1.46,"3-cell, 41 Wh Li-ion",19590000
HP 15 Fc0086au A6vv9pa,hp,AMD,Ryzen 5,7,4.3,16,DDR4,3200,512,15.6,1920 x 1080,,AMD,1.59,"3-cell, 41 Wh Li-ion polymer",15190000
HP Victus 15 Fb3116ax Bx8u4pa,hp,AMD,Ryzen 7,7,4.7,16,DDR5,5600,512,15.6,1920 x 1080,144,NVIDIA,2.29,"3-cell, 52.5 Wh Li-ion polymer",25990000
HP Pavilion 15 Eg3095tu 8c5l6pa 16gb,hp,Intel,I5,13,1.3,16,DDR4,3200,512,15.6,1920 x 1080,60,Intel,1.74,"3-cell Li-ion, 41 Wh",19990000
HP 245 G10 Bg5u8pt,hp,AMD,Ryzen 7,7,5.0,16,DDR4,3200,512,14.0,1920 x 1080,,AMD,1.36,"HP Long Life 3-cell, 41 Wh Li-ion",19990000
HP Pavilion 15 Eg3094tu 8c5l5pa 16gb,hp,Intel,I5,13,1.3,16,DDR4,3200,512,15.6,1920 x 1080,60,Intel,1.74,"3-cell Li-ion, 41 Wh",19990000
HP 14 Ep0220tu B73vwpa 16gb,hp,Intel,I3,31,4.5,16,DDR4,3200,512,14.0,1920 x 1080,,Intel,1.4,"3-cell, 41 Wh Li-ion polymer Bộ đổi nguồn AC thông minh 45 W",13490000
HP 15 Fd0305tu A2nl6pa,hp,Intel,I3,31,5.0,16,DDR4,3200,256,15.6,1920 x 1080,,Intel,1.59,"Pin Li-ion polymer 3 cell, công suất 41 Wh",12490000
HP 15 Fd0306tu A2nl7pa,hp,Intel,I3,31,1.2,8,DDR4,3200,256,15.6,1920 x 1080,60,Intel,1.59,"3-cell, 41 Wh Li-ion",12490000
