Product Name,Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND),detail_specs_html_path,gpu_model,gpu_class
HP 245 G10 B8pf8at,hp,AMD,Ryzen5,7530.0,4.5,16.0,DDR4,3200.0,256.0,14.0,1920 x 1080,,AMD,1.36,"HP Long Life 3-cell, 41 Wh Li-ion",15590000.0,data/cellphones/detail_htmls\hp_2_specs.html,AMD_RADEON_GRAPHICS,INTEGRATED
HP Victus 15 Fa2731tx B85lnpa,hp,Intel,Core I5,13420.0,4.6,16.0,DDR4,3200.0,512.0,15.6,1920 x 1080,144.0,NVIDIA,2.185,3 Cell Int (52.5Wh),24045000.0,data/cellphones/detail_htmls\hp_4_specs.html,RTX 3050,DISCRETE_GAMING
HP 14 Ep0112tu 8c5l1pa,hp,Intel,Core I5,1335.0,4.6,16.0,DDR4,3200.0,512.0,14.0,1920 x 1080,,Intel,1.46,"3-cell, 41 Wh Li-ion",19590000.0,data/cellphones/detail_htmls\hp_1_specs.html,INTEL_IRIS_XE,INTEGRATED
HP 15 Fc0086au A6vv9pa,hp,AMD,Ryzen5,7430.0,4.3,16.0,DDR4,3200.0,512.0,15.6,1920 x 1080,,AMD,1.59,"3-cell, 41 Wh Li-ion polymer",15190000.0,data/cellphones/detail_htmls\hp_0_specs.html,AMD_RADEON_GRAPHICS,INTEGRATED
HP Victus 15 Fb3116ax Bx8u4pa,hp,AMD,Ryzen7,7445.0,4.7,16.0,DDR5,5600.0,512.0,15.6,1920 x 1080,144.0,NVIDIA,2.29,"3-cell, 52.5 Wh Li-ion polymer",25990000.0,data/cellphones/detail_htmls\hp_3_specs.html,RTX 3050,DISCRETE_GAMING
HP Pavilion 15 Eg3095tu 8c5l6pa 16gb,hp,Intel,Core I5,1335.0,1.3,16.0,DDR4,3200.0,512.0,15.6,1920 x 1080,60.0,Intel,1.74,"3-cell Li-ion, 41 Wh",19990000.0,data/cellphones/detail_htmls\hp_5_specs.html,INTEL_IRIS_XE,INTEGRATED
HP 245 G10 Bg5u8pt,hp,AMD,Ryzen7,7730.0,5.0,16.0,DDR4,3200.0,512.0,14.0,1920 x 1080,,AMD,1.36,"HP Long Life 3-cell, 41 Wh Li-ion",19990000.0,data/cellphones/detail_htmls\hp_9_specs.html,AMD_RADEON_GRAPHICS,INTEGRATED
HP Pavilion 15 Eg3094tu 8c5l5pa 16gb,hp,Intel,Core I5,1335.0,1.3,16.0,DDR4,3200.0,512.0,15.6,1920 x 1080,60.0,Intel,1.74,"3-cell Li-ion, 41 Wh",19990000.0,data/cellphones/detail_htmls\hp_7_specs.html,INTEL_IRIS_XE,INTEGRATED
HP 14 Ep0220tu B73vwpa 16gb,hp,Intel,Core I3,1315.0,4.5,16.0,DDR4,3200.0,512.0,14.0,1920 x 1080,,Intel+NVIDIA,1.4,"3-cell, 41 Wh Li-ion polymer Bộ đổi nguồn AC thông minh 45 W",13490000.0,data/cellphones/detail_htmls\hp_8_specs.html,INTEL_UHD+RTX 5500,INTEGRATED
HP 15 Fd0305tu A2nl6pa,hp,Intel,Core I3,1315.0,5.0,16.0,DDR4,3200.0,256.0,15.6,1920 x 1080,,Intel,1.59,"Pin Li-ion polymer 3 cell, công suất 41 Wh",12490000.0,data/cellphones/detail_htmls\hp_6_specs.html,INTEL_UHD,INTEGRATED
HP 15 Fd0306tu A2nl7pa,hp,Intel,Core I3,1315.0,1.2,8.0,DDR4,3200.0,256.0,15.6,1920 x 1080,60.0,Intel,1.59,"3-cell, 41 Wh Li-ion",12490000.0,data/cellphones/detail_htmls\hp_13_specs.html,INTEL_UHD,INTEGRATED
